"Timestamp"," Do you use any digital services(e.g., online banking, e-commerce)?","Gender","Age","Educational Qualification","Occupation","Monthly Income","Residence","How frequently do you use digital services?","How many years have you been using digital services?","Which of the following is the strongest password?","You receive an email asking you to click a link and urgently confirm your bank account details. What is the safest action?","Which of the following is a common indicator of a phishing message?","What is the primary purpose of two-factor authentication (2FA)?","Which website address generally indicates that the connection is encrypted?","What is the most appropriate action when a legitimate security update is available for your device or application?","If a message requests your bank PIN, password, or OTP, what should you do?","What is the safest approach when using an unsecured public Wi-Fi network?","What should you do if you suspect that your online account has been compromised?","Which statement about software security updates is correct?","Digital service providers adequately protect my personal information.","I believe my financial information is securely stored.","Privacy policies of digital platforms are clear and understandable.","I have control over how my personal information is used.","Digital platforms collect only the information necessary for providing services.","I am confident that my personal data will not be shared without my consent.","I feel safe when sharing personal information through digital services.","Digital services are available whenever I need them.","Digital platforms perform transactions accurately.","I rarely experience technical failures while using digital services.","Digital services recover quickly after technical problems.","Digital platforms provide consistent service quality.","I believe digital systems are dependable.","Digital services maintain secure and uninterrupted operations.","I trust digital service providers to handle my personal information responsibly.","I feel confident when using digital services for financial transactions.","I believe digital service providers take adequate measures to protect users from cybersecurity threats.","I am concerned that digital service providers may not adequately protect my personal information.","I believe digital service providers are reliable in delivering online services.","I would hesitate to use a digital service if I were uncertain about its security. ","I believe digital service providers act in the best interests of their users.","I consider digital services generally trustworthy.","I am willing to continue using digital services that provide adequate security and privacy protection.","I would recommend a digital service that I consider secure and reliable to others."
"2026/08/19 9:44:15 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Strongly agree","Strongly agree","Neutral","Strongly agree","Neutral","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree"
"2026/08/19 9:52:43 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly disagree","Strongly Disagree","Strongly agree","Strongly disagree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree"
"2026/08/19 10:05:46 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Semi-Urban","Weekly","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/19 10:07:48 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","£1001 - £1500","Semi-Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree"
"2026/08/19 11:20:18 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To automatically change passwords","An unfamiliar shortened URL","Disable security notifications","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"2026/08/19 11:25:20 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","An unfamiliar shortened URL","Disable security notifications","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 12:23:30 AM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Click the link and verify the account","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Provide only the OTP","Disable device security features","Continue using the account normally","They can help fix security vulnerabilities","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 4:15:33 AM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Do not provide the information and verify through an official channel","Disable device security features","Change the password and follow the provider's security procedures","They always reduce device security","Strongly agree","Agree","Agree","Disagree","Strongly agree","Disagree","Strongly disagree","Neutral","Strongly Agree","Strongly Disagree","Neutral","Neutral","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Disagree","Agree"
"2026/08/20 4:19:42 AM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Conduct sensitive financial transactions normally","Ignore the incident","They should always be disabled","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly disagree","Strongly Agree","Strongly Disagree","Neutral","Agree"
"2026/08/20 10:52:05 AM GMT+1","Yes","Female","21–30","Postgraduate","Private Employee","£1501 - £2000","Urban","Monthly","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Ignore it permanently","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Continue using the account normally","They are generally unnecessary","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly disagree","Strongly Agree"
"2026/08/20 11:35:32 AM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To prevent all types of cyberattacks","example-free-login.com","Ignore it permanently","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They are generally unnecessary","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Agree","Disagree"
"2026/08/20 11:36:28 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:37:22 AM GMT+1","Yes","Male","Below 20","Higher Secondary","Student","Below £1000","Rural","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To automatically change passwords","An unfamiliar shortened URL","Ignore it permanently","Provide the information if the message appears urgent","Disable device security features","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Agree","Agree","Strongly agree","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Agree"
"2026/08/20 11:37:25 AM GMT+1","Yes","Male","21–30","Others","Business","Below £1000","Urban","Daily","1–3 years","Name@123","Click the link and verify the account","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Continue using the account normally","They always reduce device security","Agree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Strongly Agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly Agree"
"2026/08/20 11:37:27 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:37:50 AM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly disagree","Strongly Disagree","Strongly disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral"
